latitude,longitude,date
37.58135,-81.29745,2005-12-03
43.4654,-72.7051,2005-10-08
37.22647,-81.09017,1984-04-08
32.7943,-95.5425,1996-12-22
41.45,-71.5,1974-09-20
35.3011,-99.1702,1973-09-28
39.38745,-81.67339,1971-08-01
41.29873,-73.73717,2010-09-01
39.40877,-81.73172,1978-07-04
39.54739,-81.39101,1978-11-01
39.46019,-81.54855,1984-07-04
39.3731,-81.65929,1990-07-01
39.42635,-81.37085,2009-10-31
41.432,-71.65183,1978-07-15
41.4596,-71.58906,2006-11-03
35.0591,-81.11742,2022-07-05
35.9978,-86.2011,2008-10-27
36.25466,-86.15759,2010-07-16
32.69028,-95.61056,2004-03-25
32.85232,-95.46671,2006-02-01
41.5,-111.75,1962-05-01
41.41125,-111.5833,2007-08-31
37.00085,-80.8797,2003-10-23
36.932,-80.89,2011-06-10
37.0048,-81.11751,2019-04-10
43.43623,-72.43684,2015-05-24
46.24639,-120.8681,1941-10-15
46.71444,-120.6694,1996-08-30
46.5602,-121.1458,1996-11-01
46.87139,-121.2981,2000-06-13
46.8733,-121.3051,2000-07-21
46.82167,-121.2764,2000-07-25
46.93333,-121.2692,2000-10-28
46.0722,-121.3055,2001-06-11
46.621,-121.0638,2001-10-29
46.4984,-120.4474,2003-07-21
46.80505,-121.0909,2003-11-07
46.74778,-121.3603,2005-07-08
46.85,-121.25,2007-08-18
46.52485,-121.2957,2008-10-05
46.85524,-121.3034,2014-06-08
46.73581,-121.3201,2014-09-15
46.51122,-121.2719,2018-12-31
46.64558,-121.2323,2019-06-22
44.42315,-89.7793,2012-02-18
44.4308,-89.7715,2012-12-19
43.27314,-76.89331,2003-09-20
42.40489,-76.17366,2001-01-01
42.32724,-76.75318,1999-09-13
41.5036,-73.7171,1980-08-21
42.56379,-74.8865,1973-08-01
43.26886,-78.28014,1992-05-01
42.6153,-77.4028,2006-10-07
42.67993,-77.29334,2020-10-15
41.26455,-74.1468,1994-09-14
43.22649,-78.3253,1997-04-15
43.2265,-78.1946,2002-08-22
43.34806,-78.23962,2003-01-15
42.32921,-75.3811,2004-05-31
41.38084,-73.91649,2004-09-20
41.49887,-73.59659,2020-05-17
41.23296,-74.11488,2015-08-06
44.62185,-75.58825,2009-03-18
42.28045,-77.60525,1980-04-21
42.54346,-77.36516,2003-11-09
42.33473,-77.29253,2012-11-15
42.13954,-77.15908,2022-05-17
42.1174,-75.64853,2001-10-22
41.66955,-74.0863,1997-05-23
43.7268,-73.52,2001-08-15
43.6678,-73.51238,2002-05-11
43.66344,-73.56614,2006-03-31
43.42645,-73.741,2006-11-26
43.64706,-75.57448,2007-08-18
43.32,-73.81,2009-07-26
43.55915,-73.34116,2018-08-07
43.56211,-73.45947,1999-11-01
43.35086,-73.34347,2015-06-17
43.56058,-73.40212,2019-06-12
43.00972,-76.10047,2017-10-06
43.1546,-75.73906,1972-10-28
43.19501,-78.54224,2002-09-21
43.0949,-74.27923,1966-01-15
44.43419,-74.18324,2022-10-25
44.26646,-74.14589,1996-08-15
44.66399,-73.73606,2005-02-15
42.36176,-75.0116,2003-03-01
42.0837,-75.38025,2005-10-01
41.97341,-73.66616,1985-05-01
41.59773,-73.64642,2007-07-15
41.94512,-73.87915,2010-02-15
41.87219,-73.55858,2013-11-09
41.60511,-73.59506,2018-03-18
44.1856,-73.8094,2005-12-28
43.81495,-74.00528,2006-07-10
44.22388,-73.87529,2010-08-06
44.48551,-73.52519,2022-05-30
43.13206,-74.47383,2004-06-16
43.61833,-74.75611,1999-05-28
43.30679,-74.15429,2010-09-24
43.46181,-74.23166,2014-07-11
43.2696,-77.664,2005-07-27
42.09785,-77.93121,1998-02-01
39.13595,-84.17227,2015-01-22
40.47326,-83.44371,1983-10-31
40.28488,-81.58699,1983-11-28
41.1462,-80.62124,1997-11-01
41.10765,-81.4311,1978-09-01
40.24354,-84.18491,1982-11-01
38.77727,-83.18179,1977-10-31
41.29247,-83.05098,2017-10-28
38.68516,-83.12916,1982-07-21
38.74899,-82.97854,1986-10-01
38.83628,-83.12873,1990-10-01
38.79215,-82.93085,2004-06-25
38.69322,-83.12891,2010-07-06
38.9506,-83.02551,2014-02-14
40.79362,-81.32337,1976-08-10
40.67979,-81.51075,1978-07-01
40.7343,-81.15622,1978-08-01
40.74451,-81.0758,1978-08-21
40.75079,-81.27147,1991-08-15
40.75872,-81.19895,1992-01-15
40.74065,-81.35575,1995-02-15
40.77789,-81.25768,2001-02-24
40.90177,-81.26729,2010-10-22
40.79438,-81.31219,2011-09-09
41.29621,-81.5745,1995-01-04
41.31609,-81.56152,1995-03-11
41.23638,-81.62379,1998-10-01
41.35208,-81.57021,2005-07-12
41.2584,-81.56255,2005-09-14
41.25248,-81.60838,2007-12-24
41.16984,-81.64181,2010-11-18
41.23739,-81.60576,2011-06-04
41.21424,-81.5168,2015-05-24
41.23925,-81.62295,2019-05-28
41.36755,-80.76735,2000-02-01
41.42579,-80.89096,2004-08-07
39.74678,-89.34647,2005-03-01
40.62147,-81.34993,1988-06-15
40.36831,-81.32809,1988-09-15
40.27488,-81.51749,1997-05-01
40.6298,-81.5693,2002-10-12
40.20275,-81.1188,2007-02-28
40.47672,-81.39331,2008-06-20
39.25109,-82.3997,1956-01-01
39.14299,-82.41166,1987-10-01
39.17029,-82.47604,2000-05-25
39.24523,-82.27037,2004-06-20
39.42606,-84.10463,2020-04-12
39.40836,-84.10006,2023-02-28
42.24542,-77.98756,1999-01-16
42.15947,-78.82683,2004-10-15
42.06832,-78.7492,2013-07-23
39.49265,-83.11422,1980-07-01
39.70042,-84.62567,1977-05-18
41.30265,-81.30896,1962-06-06
39.17257,-83.26393,1999-12-22
39.78594,-82.29162,1978-06-01
41.48962,-83.06977,1974-04-20
39.63382,-81.40079,1958-01-15
40.04603,-82.14536,1995-03-11
40.38609,-82.69884,1977-06-01
39.61205,-84.36754,1988-09-14
39.75531,-81.02917,1994-02-15
39.9784,-84.1735,2000-09-01
41.02572,-81.77677,1976-09-01
41.1174,-80.9835,1972-08-01
39.96627,-83.51394,2003-02-18
41.38274,-82.12263,1967-07-01
41.40985,-82.11172,1985-08-15
41.27939,-82.21939,1987-10-15
41.05304,-80.51186,1998-07-01
41.09087,-80.77592,2001-09-30
41.12884,-80.85832,2006-04-01
40.95818,-80.97507,2009-08-12
41.11447,-80.14099,2012-03-24
40.94825,-80.69776,2013-11-12
40.91197,-80.70913,2021-07-17
41.09302,-81.82391,1978-09-30
41.12012,-81.81317,1992-09-20
41.06019,-81.79669,2000-10-01
41.06648,-81.96419,2001-09-25
41.03,-82.0101,2003-05-01
41.11417,-82.07824,2013-04-13
41.22248,-81.91616,2013-06-25
40.9994,-81.71439,2021-08-14
39.89172,-84.14493,2003-09-03
40.04342,-84.04518,2009-02-06
39.8494,-84.15971,2004-08-15
39.63662,-84.36874,2005-02-15
40.4764,-82.80257,1978-01-01
40.46339,-82.82576,1978-06-20
40.5896,-82.82214,2002-08-15
40.50945,-82.87663,2005-01-13
39.90416,-81.98721,2003-07-26
40.01209,-82.13298,2015-12-01
39.88653,-81.27132,1977-02-01
39.64081,-81.47081,1982-06-19
39.93154,-81.28671,1988-08-01
39.64193,-82.1013,2003-05-11
39.63255,-82.26463,2020-02-15
39.59607,-82.35291,2020-10-31
39.10611,-83.0363,2000-05-01
39.0895,-82.8342,2013-06-01
39.05922,-83.07492,2013-12-24
41.10715,-81.1414,1970-11-01
41.31405,-81.38112,1976-08-01
41.06499,-81.3741,1983-07-31
41.15845,-81.33134,1986-04-16
41.18518,-81.03764,1986-07-15
41.16187,-81.37181,1987-07-01
41.15384,-81.1124,1994-02-12
41.2599,-81.1455,1995-10-01
41.17646,-81.32425,1997-04-15
41.13021,-81.11578,1999-08-15
40.98596,-81.11642,2000-08-01
41.13356,-81.17155,2003-10-10
41.3235,-81.22745,2003-11-02
41.05931,-81.3654,2008-06-11
41.13183,-81.11617,2009-06-17
41.06194,-81.36305,2011-08-17
39.64146,-84.48506,1978-09-01
39.65361,-84.66399,2012-11-15
39.65625,-84.51192,2014-06-07
40.92276,-82.44401,1958-11-01
40.74705,-82.64864,1996-07-01
40.61236,-82.48699,1998-09-01
39.10495,-82.79665,2002-09-07
39.20212,-83.13585,2002-12-01
40.00915,-82.67252,1968-08-01
38.54852,-82.66616,1980-08-25
41.7164,-81.1438,1981-07-01
40.36462,-82.24197,2018-01-05
40.34042,-80.64211,1978-12-01
41.0672,-82.41861,1999-08-01
40.59935,-82.23988,1997-07-03
39.48219,-82.32669,1979-05-01
40.33345,-81.26559,1998-05-30
40.6445,-83.6118,2002-07-18
41.14896,-83.43667,1994-06-01
39.26903,-84.25986,2013-10-12
39.745,-83.825,1988-05-07
38.88059,-82.43382,1972-01-17
38.79833,-82.54968,1998-05-25
38.79381,-82.55177,1998-09-03
38.9264,-82.14285,2011-02-22
38.965,-82.905,2017-01-21
41.44442,-81.20629,1978-02-05
41.47349,-81.3726,1980-08-15
41.39803,-81.33974,2001-10-26
41.5325,-81.1351,2002-08-04
41.5621,-81.22853,2004-07-01
41.57231,-81.22075,2005-02-24
41.50086,-81.28275,2005-08-14
41.38199,-81.27506,2006-08-04
39.74961,-84.09158,2002-06-01
39.6543,-83.7278,2013-03-16
40.08946,-81.69818,1996-10-25
40.17699,-81.63656,1998-10-15
39.95329,-81.39827,1999-08-01
40.10801,-81.56232,2003-05-15
40.0799,-81.49697,2004-04-17
39.92781,-81.61014,2004-08-17
40.1218,-81.5117,2004-08-18
40.1138,-81.5518,2005-08-12
40.11632,-81.52101,2006-07-28
40.11682,-81.4936,2010-07-18
40.10348,-81.50933,2013-05-05
40.12719,-81.50403,2013-06-17
40.14003,-81.49033,2017-02-12
40.01452,-81.34529,2021-07-06
40.6559,-83.9374,2004-03-25
40.42655,-81.25576,2000-10-01
40.42687,-81.2558,2004-07-18
40.36207,-81.18504,2010-03-02
40.24786,-81.15179,2012-03-19
40.16912,-80.62003,2020-02-06
40.26059,-81.22332,2020-02-16
40.30527,-80.93864,2020-02-16
40.40611,-81.13733,2020-02-29
40.30824,-81.24778,2020-03-04
40.40192,-81.08803,2021-02-03
39.39935,-82.52238,1980-10-31
39.58157,-82.36887,2000-07-11
39.56573,-82.49833,2017-06-25
39.57143,-82.49968,2017-08-13
40.61286,-82.17295,2012-06-21
40.61286,-82.17295,2012-06-28
40.62731,-82.12366,2013-01-05
40.59307,-82.14194,2013-05-27
40.60291,-82.16943,2013-08-24
41.06939,-82.36591,2015-08-24
40.36957,-80.77387,1981-11-01
40.54269,-80.89606,1987-08-07
40.2831,-80.78826,1988-12-31
40.39103,-80.6937,1997-09-30
40.3725,-80.67828,2001-06-01
40.42591,-80.6616,2004-05-01
40.29771,-80.75612,2020-08-14
40.36887,-80.81801,2021-07-24
38.60551,-82.71107,1991-02-24
40.05998,-82.28814,1984-01-15
39.74107,-82.70263,2000-06-29
41.42364,-82.82491,2000-10-29
40.26494,-83.0556,1976-07-15
41.34728,-84.54476,1977-01-01
41.2625,-84.38103,1998-05-24
39.03501,-84.1317,2009-06-16
39.92821,-83.64597,1989-11-01
40.04792,-83.5556,1983-05-01
40.54605,-81.26217,1976-08-01
39.49695,-84.45905,1986-06-01
38.81772,-83.80582,1986-07-27
40.01784,-80.93318,1994-11-05
39.4484,-82.2244,1980-07-01
39.45789,-82.24257,1994-09-01
39.47642,-82.24155,1998-11-19
39.28537,-81.85331,2002-05-16
39.86019,-81.20422,2002-10-15
40.01983,-81.07013,2014-05-23
39.91209,-81.04791,2015-10-04
40.10975,-80.85938,2018-01-21
40.10084,-81.14331,2020-04-11
